id,context_ip,name,path,context_session_id,url,context_destination_id,context_destination_type,context_app_namespace,context_page_referrer,context_page_referring_domain,context_page_path,anonymous_id,user_id,received_at,sent_at,original_timestamp,timestamp,uuid_ts,context_campaign_medium,context_campaign_content,context_campaign_source,context_campaign_name,category,title
oe0ctWM16mufIKiI,80.4.19.8,product-view,/p/717,1731308619,www.choixcart.com/p/717,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/835,06ca445afa5b319dd8b76bc53065fb81,,2024-11-28T13:22:35.000000Z,2024-11-28T13:22:35.000000Z,2024-11-28T13:22:35.000000Z,2024-11-28T13:22:35.000000Z,2024-11-28T13:22:35.000000Z,,,,,Trousers,
ajnfJVBzIMUpDnH5,80.4.19.8,product-view,/p/763,1731308619,www.choixcart.com/p/763,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/717,06ca445afa5b319dd8b76bc53065fb81,,2024-11-28T13:54:35.000000Z,2024-11-28T13:54:35.000000Z,2024-11-28T13:54:35.000000Z,2024-11-28T13:54:35.000000Z,2024-11-28T13:54:35.000000Z,,,,,Shirts,
sBynDSkdB9ckb1Xo,80.4.19.8,product-view,/p/839,1731308619,www.choixcart.com/p/839,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/763,06ca445afa5b319dd8b76bc53065fb81,,2024-11-28T14:58:42.000000Z,2024-11-28T14:58:42.000000Z,2024-11-28T14:58:42.000000Z,2024-11-28T14:58:42.000000Z,2024-11-28T14:58:42.000000Z,,,,,Trousers,
dYaNNbgpahzla7Cz,80.4.19.8,product-view,/p/341,1731308619,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/839,06ca445afa5b319dd8b76bc53065fb81,,2024-11-28T15:17:52.000000Z,2024-11-28T15:17:52.000000Z,2024-11-28T15:17:52.000000Z,2024-11-28T15:17:52.000000Z,2024-11-28T15:17:52.000000Z,,,,,Formal Shoes,
Yli6OboYo2WatEw1,208.215.15.22,home-page,,1734099697,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,06ca445afa5b319dd8b76bc53065fb81,,2024-12-13T19:51:37.000000Z,2024-12-13T19:51:37.000000Z,2024-12-13T19:51:37.000000Z,2024-12-13T19:51:37.000000Z,2024-12-13T19:51:37.000000Z,,,,,,
3WfALyQW8NQhwzzL,208.215.15.22,product-view,/p/776,1734099697,www.choixcart.com/p/776,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,06ca445afa5b319dd8b76bc53065fb81,,2024-12-18T19:51:37.000000Z,2024-12-18T19:51:37.000000Z,2024-12-18T19:51:37.000000Z,2024-12-18T19:51:37.000000Z,2024-12-18T19:51:37.000000Z,,,,,Mens clothing,
khVEkYdr5E8Fg9HZ,208.215.15.22,product-view,,1734099697,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/776,06ca445afa5b319dd8b76bc53065fb81,,2024-12-18T20:37:58.000000Z,2024-12-18T20:37:58.000000Z,2024-12-18T20:37:58.000000Z,2024-12-18T20:37:58.000000Z,2024-12-18T20:37:58.000000Z,,,,,,
vPevaeoHCL8zuwE9,208.215.15.22,product-view,/p/835,1734099697,www.choixcart.com/p/835,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/780,06ca445afa5b319dd8b76bc53065fb81,,2024-12-18T21:10:23.000000Z,2024-12-18T21:10:23.000000Z,2024-12-18T21:10:23.000000Z,2024-12-18T21:10:23.000000Z,2024-12-18T21:10:23.000000Z,,,,,Jeans,
Ks0pUzRY98nMGZB5,208.215.15.22,product-view,/p/979,1734099697,www.choixcart.com/p/979,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/835,06ca445afa5b319dd8b76bc53065fb81,,2024-12-18T22:11:38.000000Z,2024-12-18T22:11:38.000000Z,2024-12-18T22:11:38.000000Z,2024-12-18T22:11:38.000000Z,2024-12-18T22:11:38.000000Z,,,,,Watches,
xgHRmaZLabGRjNTm,208.215.15.22,product-view,/p/341,1734099697,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/979,06ca445afa5b319dd8b76bc53065fb81,,2024-12-18T23:11:04.000000Z,2024-12-18T23:11:04.000000Z,2024-12-18T23:11:04.000000Z,2024-12-18T23:11:04.000000Z,2024-12-18T23:11:04.000000Z,,,,,Formal Shoes,
0OGAiAEsbmWgtphc,102.95.170.176,home-page,,1739659324,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,,06ca445afa5b319dd8b76bc53065fb81,,2025-02-16T04:12:04.000000Z,2025-02-16T04:12:04.000000Z,2025-02-16T04:12:04.000000Z,2025-02-16T04:12:04.000000Z,2025-02-16T04:12:04.000000Z,email,53dsvdsa,email,cmpn_421,,
QWU9V245ztjjsCoc,102.95.170.176,product-view,/p/835,1739659324,www.choixcart.com/p/835,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,,06ca445afa5b319dd8b76bc53065fb81,,2025-02-26T04:12:04.000000Z,2025-02-26T04:12:04.000000Z,2025-02-26T04:12:04.000000Z,2025-02-26T04:12:04.000000Z,2025-02-26T04:12:04.000000Z,email,53dsvdsa,email,cmpn_421,Jeans,
OkLY1PkXENsttPjm,102.95.170.176,product-view,/p/717,1739659324,www.choixcart.com/p/717,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,/p/835,06ca445afa5b319dd8b76bc53065fb81,,2025-02-26T05:08:00.000000Z,2025-02-26T05:08:00.000000Z,2025-02-26T05:08:00.000000Z,2025-02-26T05:08:00.000000Z,2025-02-26T05:08:00.000000Z,email,53dsvdsa,email,cmpn_421,Trousers,
F26K6QI9LnCOxCss,102.95.170.176,product-view,/p/979,1739659324,www.choixcart.com/p/979,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,/p/717,06ca445afa5b319dd8b76bc53065fb81,,2025-02-26T05:47:00.000000Z,2025-02-26T05:47:00.000000Z,2025-02-26T05:47:00.000000Z,2025-02-26T05:47:00.000000Z,2025-02-26T05:47:00.000000Z,email,53dsvdsa,email,cmpn_421,Watches,
Wcz6NDKY0gvE3jXB,102.95.170.176,product-view,/p/835,1739659324,www.choixcart.com/p/835,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,/p/979,06ca445afa5b319dd8b76bc53065fb81,,2025-02-26T06:49:38.000000Z,2025-02-26T06:49:38.000000Z,2025-02-26T06:49:38.000000Z,2025-02-26T06:49:38.000000Z,2025-02-26T06:49:38.000000Z,email,53dsvdsa,email,cmpn_421,Jeans,
N3LRnYCWQmGGxI9L,180.99.73.69,home-page,,1742887314,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.twitter.com,twitter.com,,06ca445afa5b319dd8b76bc53065fb81,,2025-03-25T12:51:54.000000Z,2025-03-25T12:51:54.000000Z,2025-03-25T12:51:54.000000Z,2025-03-25T12:51:54.000000Z,2025-03-25T12:51:54.000000Z,paidsocial,gts23ds,twitter,cmpn_125,,
yYKMokvZOBHynsgo,180.99.73.69,product-view,/p/589,1742887314,www.choixcart.com/p/589,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.twitter.com,twitter.com,,06ca445afa5b319dd8b76bc53065fb81,,2025-04-07T12:51:54.000000Z,2025-04-07T12:51:54.000000Z,2025-04-07T12:51:54.000000Z,2025-04-07T12:51:54.000000Z,2025-04-07T12:51:54.000000Z,paidsocial,gts23ds,twitter,cmpn_125,Shoes,
lGqY8oZEQI3iPKjo,180.99.73.69,product-view,/p/717,1742887314,www.choixcart.com/p/717,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.twitter.com,twitter.com,/p/589,06ca445afa5b319dd8b76bc53065fb81,,2025-04-07T13:37:52.000000Z,2025-04-07T13:37:52.000000Z,2025-04-07T13:37:52.000000Z,2025-04-07T13:37:52.000000Z,2025-04-07T13:37:52.000000Z,paidsocial,gts23ds,twitter,cmpn_125,Trousers,
OiqVTW3aLiYlQUxU,180.99.73.69,product-view,/p/717,1742887314,www.choixcart.com/p/717,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.twitter.com,twitter.com,/p/717,06ca445afa5b319dd8b76bc53065fb81,,2025-04-07T14:03:15.000000Z,2025-04-07T14:03:15.000000Z,2025-04-07T14:03:15.000000Z,2025-04-07T14:03:15.000000Z,2025-04-07T14:03:15.000000Z,paidsocial,gts23ds,twitter,cmpn_125,Trousers,
wTZ3WgCJ2A1BTiD8,180.99.73.69,product-view,/p/341,1742887314,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.twitter.com,twitter.com,/p/717,06ca445afa5b319dd8b76bc53065fb81,,2025-04-07T14:26:54.000000Z,2025-04-07T14:26:54.000000Z,2025-04-07T14:26:54.000000Z,2025-04-07T14:26:54.000000Z,2025-04-07T14:26:54.000000Z,paidsocial,gts23ds,twitter,cmpn_125,Formal Shoes,
X0AA5CbRM1SjN02Y,19.246.112.60,home-page,,1747939343,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,06ca445afa5b319dd8b76bc53065fb81,,2025-05-23T00:12:23.000000Z,2025-05-23T00:12:23.000000Z,2025-05-23T00:12:23.000000Z,2025-05-23T00:12:23.000000Z,2025-05-23T00:12:23.000000Z,,,,,,
ofjqaZT9eWaRV8bx,19.246.112.60,product-view,/p/835,1747939343,www.choixcart.com/p/835,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,06ca445afa5b319dd8b76bc53065fb81,,2025-06-05T00:12:23.000000Z,2025-06-05T00:12:23.000000Z,2025-06-05T00:12:23.000000Z,2025-06-05T00:12:23.000000Z,2025-06-05T00:12:23.000000Z,,,,,Jeans,
kJ9vhKrU20FQdVQN,59.154.187.255,home-page,,1728802597,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,fe42102771ed7e01001630ba2339b099,,2024-10-13T12:26:37.000000Z,2024-10-13T12:26:37.000000Z,2024-10-13T12:26:37.000000Z,2024-10-13T12:26:37.000000Z,2024-10-13T12:26:37.000000Z,,,,,,
dQEooeaeb4cwv5OF,59.154.187.255,product-view,/p/341,1728802597,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,fe42102771ed7e01001630ba2339b099,,2024-10-31T12:26:37.000000Z,2024-10-31T12:26:37.000000Z,2024-10-31T12:26:37.000000Z,2024-10-31T12:26:37.000000Z,2024-10-31T12:26:37.000000Z,,,,,Formal Shoes,
BCoF83jWkNG8sMS2,59.154.187.255,product-view,/p/341,1728802597,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/341,fe42102771ed7e01001630ba2339b099,,2024-10-31T12:59:51.000000Z,2024-10-31T12:59:51.000000Z,2024-10-31T12:59:51.000000Z,2024-10-31T12:59:51.000000Z,2024-10-31T12:59:51.000000Z,,,,,Formal Shoes,
Cakc6bYni0E8WrZV,59.154.187.255,product-view,/p/839,1728802597,www.choixcart.com/p/839,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/341,fe42102771ed7e01001630ba2339b099,,2024-10-31T13:36:58.000000Z,2024-10-31T13:36:58.000000Z,2024-10-31T13:36:58.000000Z,2024-10-31T13:36:58.000000Z,2024-10-31T13:36:58.000000Z,,,,,Trousers,
laAlh3YWntQhSC4N,59.154.187.255,product-view,/p/839,1728802597,www.choixcart.com/p/839,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/839,fe42102771ed7e01001630ba2339b099,,2024-10-31T13:49:32.000000Z,2024-10-31T13:49:32.000000Z,2024-10-31T13:49:32.000000Z,2024-10-31T13:49:32.000000Z,2024-10-31T13:49:32.000000Z,,,,,Trousers,
IoWpLwOEbVnOm52g,48.22.155.195,home-page,,1731142341,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,be6cd93e2f8d8adbb86b7088677367cf,,2024-11-09T14:22:21.000000Z,2024-11-09T14:22:21.000000Z,2024-11-09T14:22:21.000000Z,2024-11-09T14:22:21.000000Z,2024-11-09T14:22:21.000000Z,,,,,,
hMq35VEL7fAWzosF,48.22.155.195,product-view,/p/589,1731142341,www.choixcart.com/p/589,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,be6cd93e2f8d8adbb86b7088677367cf,,2024-11-21T14:22:21.000000Z,2024-11-21T14:22:21.000000Z,2024-11-21T14:22:21.000000Z,2024-11-21T14:22:21.000000Z,2024-11-21T14:22:21.000000Z,,,,,Shoes,
YRpcHzlB0HzB2vC1,48.22.155.195,cart-add,/p/589,1731142341,www.choixcart.com/p/589,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/589,be6cd93e2f8d8adbb86b7088677367cf,,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,,,,,Shoes,
BtIMovTnSdgqNQr6,142.238.28.106,home-page,,1736100551,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,be6cd93e2f8d8adbb86b7088677367cf,,2025-01-05T23:39:11.000000Z,2025-01-05T23:39:11.000000Z,2025-01-05T23:39:11.000000Z,2025-01-05T23:39:11.000000Z,2025-01-05T23:39:11.000000Z,,,,,,
FyCbTIvnCPoQArIX,142.238.28.106,product-view,/p/979,1736100551,www.choixcart.com/p/979,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,be6cd93e2f8d8adbb86b7088677367cf,,2025-01-13T23:39:11.000000Z,2025-01-13T23:39:11.000000Z,2025-01-13T23:39:11.000000Z,2025-01-13T23:39:11.000000Z,2025-01-13T23:39:11.000000Z,,,,,Watches,
9t0Ocfqg4o5sTQsv,142.238.28.106,product-view,/p/717,1736100551,www.choixcart.com/p/717,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/979,be6cd93e2f8d8adbb86b7088677367cf,,2025-01-14T00:17:40.000000Z,2025-01-14T00:17:40.000000Z,2025-01-14T00:17:40.000000Z,2025-01-14T00:17:40.000000Z,2025-01-14T00:17:40.000000Z,,,,,Trousers,
iafIXUCeTuk1MtJw,142.238.28.106,product-view,/p/763,1736100551,www.choixcart.com/p/763,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/717,be6cd93e2f8d8adbb86b7088677367cf,,2025-01-14T00:55:36.000000Z,2025-01-14T00:55:36.000000Z,2025-01-14T00:55:36.000000Z,2025-01-14T00:55:36.000000Z,2025-01-14T00:55:36.000000Z,,,,,Shirts,
Bzvh8lab9g56b2w5,142.238.28.106,product-view,/p/341,1736100551,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/763,be6cd93e2f8d8adbb86b7088677367cf,,2025-01-14T01:26:12.000000Z,2025-01-14T01:26:12.000000Z,2025-01-14T01:26:12.000000Z,2025-01-14T01:26:12.000000Z,2025-01-14T01:26:12.000000Z,,,,,Formal Shoes,
leJv5qN6szHmrKE1,142.238.28.106,cart-add,/p/341,1736100551,www.choixcart.com/p/341,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/341,be6cd93e2f8d8adbb86b7088677367cf,,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,,,,,Formal Shoes,
cFDMZ9LB5EV3eRQl,108.151.245.95,home-page,,1738547253,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,be6cd93e2f8d8adbb86b7088677367cf,,2025-02-03T07:17:33.000000Z,2025-02-03T07:17:33.000000Z,2025-02-03T07:17:33.000000Z,2025-02-03T07:17:33.000000Z,2025-02-03T07:17:33.000000Z,,,,,,
frDGeuJc6PUPr910,108.151.245.95,product-view,/p/776,1738547253,www.choixcart.com/p/776,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,be6cd93e2f8d8adbb86b7088677367cf,,2025-02-09T07:17:33.000000Z,2025-02-09T07:17:33.000000Z,2025-02-09T07:17:33.000000Z,2025-02-09T07:17:33.000000Z,2025-02-09T07:17:33.000000Z,,,,,Mens clothing,
7o4jia3LEYe5JaH5,108.151.245.95,product-view,/p/839,1738547253,www.choixcart.com/p/839,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/776,be6cd93e2f8d8adbb86b7088677367cf,,2025-02-09T07:34:34.000000Z,2025-02-09T07:34:34.000000Z,2025-02-09T07:34:34.000000Z,2025-02-09T07:34:34.000000Z,2025-02-09T07:34:34.000000Z,,,,,Trousers,
WugkyY2OjyNfbWri,108.151.245.95,cart-add,/p/839,1738547253,www.choixcart.com/p/839,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,/p/839,be6cd93e2f8d8adbb86b7088677367cf,,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,,,,,Trousers,
BAa506S9M3M3qdxH,86.95.165.74,home-page,,1741088026,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-04T17:03:46.000000Z,2025-03-04T17:03:46.000000Z,2025-03-04T17:03:46.000000Z,2025-03-04T17:03:46.000000Z,2025-03-04T17:03:46.000000Z,ppc,cdasareravf,bing,cmpn_830,,
Y3FPFl8eniVxv32D,86.95.165.74,product-view,/p/776,1741088026,www.choixcart.com/p/776,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-24T17:03:46.000000Z,2025-03-24T17:03:46.000000Z,2025-03-24T17:03:46.000000Z,2025-03-24T17:03:46.000000Z,2025-03-24T17:03:46.000000Z,ppc,cdasareravf,bing,cmpn_830,Mens clothing,
QkDy3MEeqpQG3UAL,86.95.165.74,product-view,,1741088026,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/p/776,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-24T17:42:19.000000Z,2025-03-24T17:42:19.000000Z,2025-03-24T17:42:19.000000Z,2025-03-24T17:42:19.000000Z,2025-03-24T17:42:19.000000Z,ppc,cdasareravf,bing,cmpn_830,,
o5btQxqD9WKQ3FoG,86.95.165.74,product-view,/p/979,1741088026,www.choixcart.com/p/979,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/p/780,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-24T18:02:12.000000Z,2025-03-24T18:02:12.000000Z,2025-03-24T18:02:12.000000Z,2025-03-24T18:02:12.000000Z,2025-03-24T18:02:12.000000Z,ppc,cdasareravf,bing,cmpn_830,Watches,
CbXF6vkIEDYmc3Nb,86.95.165.74,product-view,/p/589,1741088026,www.choixcart.com/p/589,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/p/979,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-24T18:58:41.000000Z,2025-03-24T18:58:41.000000Z,2025-03-24T18:58:41.000000Z,2025-03-24T18:58:41.000000Z,2025-03-24T18:58:41.000000Z,ppc,cdasareravf,bing,cmpn_830,Shoes,
xQJmZO86RVtLQUd4,86.95.165.74,product-view,/p/731,1741088026,www.choixcart.com/p/731,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/p/589,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-24T20:00:15.000000Z,2025-03-24T20:00:15.000000Z,2025-03-24T20:00:15.000000Z,2025-03-24T20:00:15.000000Z,2025-03-24T20:00:15.000000Z,ppc,cdasareravf,bing,cmpn_830,Shoes,
Seyvt1jhqvf5pmae,86.95.165.74,cart-add,/p/731,1741088026,www.choixcart.com/p/731,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/p/731,be6cd93e2f8d8adbb86b7088677367cf,,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,ppc,cdasareravf,bing,cmpn_830,Shoes,
NlyrT6vW3TaWTdIJ,62.33.122.6,home-page,,1729482902,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,,c24f523c4a06e9e8ce68e5fc60305b8b,,2024-10-21T09:25:02.000000Z,2024-10-21T09:25:02.000000Z,2024-10-21T09:25:02.000000Z,2024-10-21T09:25:02.000000Z,2024-10-21T09:25:02.000000Z,email,53dsvdsa,email,cmpn_421,,
Z48V4M6Gs5KxYXpW,62.33.122.6,signup,/signup,1729482902,www.choixcart.com/signup,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,,c24f523c4a06e9e8ce68e5fc60305b8b,daniel.parsons285@example.net,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,email,53dsvdsa,email,cmpn_421,,
rV2uY2uD2GrWlOCJ,130.132.145.163,home-page,,1733403345,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.google.com,google,,c24f523c4a06e9e8ce68e5fc60305b8b,daniel.parsons285@example.net,2024-12-05T18:25:45.000000Z,2024-12-05T18:25:45.000000Z,2024-12-05T18:25:45.000000Z,2024-12-05T18:25:45.000000Z,2024-12-05T18:25:45.000000Z,ppc,gfaa4rvdsa,google,cmpn_533,,
ZuTYThPYLBNpDXpp,130.132.145.163,signup,/signup,1733403345,www.choixcart.com/signup,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,www.google.com,google,,c24f523c4a06e9e8ce68e5fc60305b8b,daniel.parsons285@example.net,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,ppc,gfaa4rvdsa,google,cmpn_533,,
